Jenis Budidaya Pembesaran,Provinsi,Kabupaten/Kota,Jenis Ikan,Tahun,Volume Produksi,Nilai Produksi
KOLAM AIR TENANG,JAWA BARAT,KOTA BANJAR,LELE,2021,"318,545 "," Rp4,778,175,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BEKASI,LELE,2021,"1,250,153 "," Rp22,502,754,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BOGOR,LELE,2021,"2,455,170 "," Rp42,584,840,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA CIMAHI,LELE,2021,"176,126 "," Rp3,170,268,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA CIREBON,LELE,2021,"73,340 "," Rp1,173,440,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA DEPOK,LELE,2021,"150,101 "," Rp3,228,081,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA SUKABUMI,LELE,2021,"713,390 "," Rp12,841,020,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA TASIKMALAYA,LELE,2021,"1,489,551 "," Rp17,874,612,000 "
KOLAM AIR TENANG,JAWA BARAT,KUNINGAN,LELE,2021,"4,467,860 "," Rp75,953,620,000 "
KOLAM AIR TENANG,JAWA BARAT,MAJALENGKA,LELE,2021,"2,538,930 "," Rp46,185,300,000 "
KOLAM AIR TENANG,JAWA BARAT,PANGANDARAN,LELE,2021,"30,871 "," Rp459,674,700 "
KOLAM AIR TENANG,JAWA BARAT,PURWAKARTA,LELE,2021,"604,280 "," Rp9,668,480,000 "
KOLAM AIR TENANG,JAWA BARAT,SUBANG,LELE,2021,"1,844,191 "," Rp36,883,820,000 "
KOLAM AIR TENANG,JAWA BARAT,SUKABUMI,LELE,2021,"11,614,161 "," Rp186,307,562,000 "
KOLAM AIR TENANG,JAWA BARAT,SUMEDANG,LELE,2021,"479,545 "," Rp8,676,861,165 "
KOLAM AIR TENANG,JAWA BARAT,TASIKMALAYA,LELE,2021,"4,400,000 "," Rp52,800,000,000 "
KOLAM AIR TENANG,JAWA TENGAH,BANJARNEGARA,LELE,2021,"12,713,427 "," Rp199,413,633,500 "
KOLAM AIR TENANG,JAWA TENGAH,BANYUMAS,LELE,2021,"3,627,523 "," Rp61,667,891,000 "
